key,dataset,feature,primary,n_A,n_B,resolution,representation,N
WDBC__01,WDBC,mean texture,True,357,212,2.0867984543253986,Means,2
WDBC__01,WDBC,mean texture,True,357,212,2.376820602755804,Means,2
WDBC__01,WDBC,mean texture,True,357,212,2.7071498763931694,Means,2
WDBC__01,WDBC,mean texture,True,357,212,3.083388138237417,Means,2
WDBC__01,WDBC,mean texture,True,357,212,3.511915795253308,Means,2
WDBC__01,WDBC,mean texture,True,357,212,4.0,Means,2
WDBC__02,WDBC,mean perimeter,True,357,212,0.025,Observations,569
WDBC__02,WDBC,mean perimeter,True,357,212,0.02847448681291267,Observations,569
WDBC__02,WDBC,mean perimeter,True,357,212,0.032431855970349484,Observations,569
WDBC__02,WDBC,mean perimeter,True,357,212,0.03693921820583997,Observations,569
WDBC__02,WDBC,mean perimeter,True,357,212,0.04207301126725973,Observations,569
WDBC__02,WDBC,mean perimeter,True,357,212,0.04792029618036453,Observations,569
WDBC__02,WDBC,mean perimeter,True,357,212,0.05458023366634633,Observations,569
WDBC__02,WDBC,mean perimeter,True,357,212,0.06216576575112282,Observations,569
WDBC__02,WDBC,mean perimeter,True,357,212,0.07080553108379858,Observations,569
WDBC__02,WDBC,mean perimeter,True,357,212,0.08064604644507599,Observations,569
WDBC__02,WDBC,mean perimeter,True,357,212,0.0918541914405543,Observations,569
WDBC__02,WDBC,mean perimeter,True,357,212,0.10462003851539275,Observations,569
WDBC__02,WDBC,mean perimeter,True,357,212,0.11916007628291865,Observations,569
WDBC__02,WDBC,mean perimeter,True,357,212,0.13572088082974534,Binned,130
WDBC__02,WDBC,mean perimeter,True,357,212,0.15458329725693898,Binned,34
WDBC__02,WDBC,mean perimeter,True,357,212,0.17606720236957066,Binned,34
WDBC__02,WDBC,mean perimeter,True,357,212,0.20053692928235056,Binned,34
WDBC__02,WDBC,mean perimeter,True,357,212,0.2284074459340916,Binned,34
WDBC__02,WDBC,mean perimeter,True,357,212,0.2601513922888541,Binned,34
WDBC__02,WDBC,mean perimeter,True,357,212,0.29630709556359386,Binned,18
WDBC__02,WDBC,mean perimeter,True,357,212,0.33748769940792006,Binned,18
WDBC__02,WDBC,mean perimeter,True,357,212,0.38439156185244217,Binned,18
WDBC__02,WDBC,mean perimeter,True,357,212,0.4378140983584905,Binned,18
WDBC__02,WDBC,mean perimeter,True,357,212,0.4986612708086434,Binned,18
WDBC__02,WDBC,mean perimeter,True,357,212,0.5679649511900395,Binned,18
WDBC__02,WDBC,mean perimeter,True,357,212,0.6469004205142944,Binned,18
WDBC__02,WDBC,mean perimeter,True,357,212,0.7368062997280774,Binned,18
WDBC__02,WDBC,mean perimeter,True,357,212,0.8392072506111242,Binned,18
WDBC__02,WDBC,mean perimeter,True,357,212,0.9558398316330861,Binned,10
WDBC__02,WDBC,mean perimeter,True,357,212,1.0886819472437184,Binned,10
WDBC__02,WDBC,mean perimeter,True,357,212,1.2399863900098937,Means,2
WDBC__02,WDBC,mean perimeter,True,357,212,1.4123190444211153,Means,2
WDBC__02,WDBC,mean perimeter,True,357,212,1.6086024002397787,Means,2
WDBC__02,WDBC,mean perimeter,True,357,212,1.8321651133138896,Means,2
WDBC__02,WDBC,mean perimeter,True,357,212,2.0867984543253986,Means,2
WDBC__02,WDBC,mean perimeter,True,357,212,2.376820602755804,Means,2
WDBC__02,WDBC,mean perimeter,True,357,212,2.7071498763931694,Means,2
WDBC__02,WDBC,mean perimeter,True,357,212,3.083388138237417,Means,2
WDBC__02,WDBC,mean perimeter,True,357,212,3.511915795253308,Means,2
WDBC__02,WDBC,mean perimeter,True,357,212,4.0,Means,2
WDBC__03,WDBC,mean area,True,357,212,0.025,Observations,569
WDBC__03,WDBC,mean area,True,357,212,0.02847448681291267,Observations,569
WDBC__03,WDBC,mean area,True,357,212,0.032431855970349484,Observations,569
WDBC__03,WDBC,mean area,True,357,212,0.03693921820583997,Observations,569
WDBC__03,WDBC,mean area,True,357,212,0.04207301126725973,Observations,569
WDBC__03,WDBC,mean area,True,357,212,0.04792029618036453,Observations,569
WDBC__03,WDBC,mean area,True,357,212,0.05458023366634633,Observations,569
WDBC__03,WDBC,mean area,True,357,212,0.06216576575112282,Observations,569
WDBC__03,WDBC,mean area,True,357,212,0.07080553108379858,Observations,569
WDBC__03,WDBC,mean area,True,357,212,0.08064604644507599,Observations,569
WDBC__03,WDBC,mean area,True,357,212,0.0918541914405543,Observations,569
WDBC__03,WDBC,mean area,True,357,212,0.10462003851539275,Observations,569
WDBC__03,WDBC,mean area,True,357,212,0.11916007628291865,Observations,569
WDBC__03,WDBC,mean area,True,357,212,0.13572088082974534,Observations,569
WDBC__03,WDBC,mean area,True,357,212,0.15458329725693898,Observations,569
WDBC__03,WDBC,mean area,True,357,212,0.17606720236957066,Observations,569
WDBC__03,WDBC,mean area,True,357,212,0.20053692928235056,Observations,569
WDBC__03,WDBC,mean area,True,357,212,0.2284074459340916,Binned,34
WDBC__03,WDBC,mean area,True,357,212,0.2601513922888541,Binned,34
WDBC__03,WDBC,mean area,True,357,212,0.29630709556359386,Binned,34
WDBC__03,WDBC,mean area,True,357,212,0.33748769940792006,Binned,18
WDBC__03,WDBC,mean area,True,357,212,0.38439156185244217,Binned,18
WDBC__03,WDBC,mean area,True,357,212,0.4378140983584905,Binned,18
WDBC__03,WDBC,mean area,True,357,212,0.4986612708086434,Binned,18
WDBC__03,WDBC,mean area,True,357,212,0.5679649511900395,Binned,18
WDBC__03,WDBC,mean area,True,357,212,0.6469004205142944,Binned,18
WDBC__03,WDBC,mean area,True,357,212,0.7368062997280774,Binned,18
WDBC__03,WDBC,mean area,True,357,212,0.8392072506111242,Binned,10
WDBC__03,WDBC,mean area,True,357,212,0.9558398316330861,Binned,10
WDBC__03,WDBC,mean area,True,357,212,1.0886819472437184,Binned,10
WDBC__03,WDBC,mean area,True,357,212,1.2399863900098937,Binned,10
WDBC__03,WDBC,mean area,True,357,212,1.4123190444211153,Binned,10
WDBC__03,WDBC,mean area,True,357,212,1.6086024002397787,Binned,10
WDBC__03,WDBC,mean area,True,357,212,1.8321651133138896,Binned,10
WDBC__03,WDBC,mean area,True,357,212,2.0867984543253986,Means,2
WDBC__03,WDBC,mean area,True,357,212,2.376820602755804,Means,2
WDBC__03,WDBC,mean area,True,357,212,2.7071498763931694,Means,2
WDBC__03,WDBC,mean area,True,357,212,3.083388138237417,Means,2
WDBC__03,WDBC,mean area,True,357,212,3.511915795253308,Means,2
WDBC__03,WDBC,mean area,True,357,212,4.0,Means,2
WDBC__04,WDBC,mean smoothness,True,357,212,0.025,Observations,569
WDBC__04,WDBC,mean smoothness,True,357,212,0.02847448681291267,Observations,569
WDBC__04,WDBC,mean smoothness,True,357,212,0.032431855970349484,Observations,569
WDBC__04,WDBC,mean smoothness,True,357,212,0.03693921820583997,Observations,569
WDBC__04,WDBC,mean smoothness,True,357,212,0.04207301126725973,Observations,569
WDBC__04,WDBC,mean smoothness,True,357,212,0.04792029618036453,Observations,569
WDBC__04,WDBC,mean smoothness,True,357,212,0.05458023366634633,Observations,569
WDBC__04,WDBC,mean smoothness,True,357,212,0.06216576575112282,Observations,569
WDBC__04,WDBC,mean smoothness,True,357,212,0.07080553108379858,Observations,569
WDBC__04,WDBC,mean smoothness,True,357,212,0.08064604644507599,Binned,130
WDBC__04,WDBC,mean smoothness,True,357,212,0.0918541914405543,Binned,66
WDBC__04,WDBC,mean smoothness,True,357,212,0.10462003851539275,Binned,66
WDBC__04,WDBC,mean smoothness,True,357,212,0.11916007628291865,Binned,34
WDBC__04,WDBC,mean smoothness,True,357,212,0.13572088082974534,Binned,34
WDBC__04,WDBC,mean smoothness,True,357,212,0.15458329725693898,Binned,34
WDBC__04,WDBC,mean smoothness,True,357,212,0.17606720236957066,Binned,34
WDBC__04,WDBC,mean smoothness,True,357,212,0.20053692928235056,Binned,18
WDBC__04,WDBC,mean smoothness,True,357,212,0.2284074459340916,Binned,18
WDBC__04,WDBC,mean smoothness,True,357,212,0.2601513922888541,Means,2
WDBC__04,WDBC,mean smoothness,True,357,212,0.29630709556359386,Means,2
WDBC__04,WDBC,mean smoothness,True,357,212,0.33748769940792006,Means,2
WDBC__04,WDBC,mean smoothness,True,357,212,0.38439156185244217,Means,2
WDBC__04,WDBC,mean smoothness,True,357,212,0.4378140983584905,Means,2
WDBC__04,WDBC,mean smoothness,True,357,212,0.4986612708086434,Means,2
WDBC__04,WDBC,mean smoothness,True,357,212,0.5679649511900395,Means,2
WDBC__04,WDBC,mean smoothness,True,357,212,0.6469004205142944,Means,2
WDBC__04,WDBC,mean smoothness,True,357,212,0.7368062997280774,Means,2
WDBC__04,WDBC,mean smoothness,True,357,212,0.8392072506111242,Means,2
WDBC__04,WDBC,mean smoothness,True,357,212,0.9558398316330861,Means,2
WDBC__04,WDBC,mean smoothness,True,357,212,1.0886819472437184,Means,2
WDBC__04,WDBC,mean smoothness,True,357,212,1.2399863900098937,Means,2
WDBC__04,WDBC,mean smoothness,True,357,212,1.4123190444211153,Means,2
WDBC__04,WDBC,mean smoothness,True,357,212,1.6086024002397787,Means,2
WDBC__04,WDBC,mean smoothness,True,357,212,1.8321651133138896,Means,2
WDBC__04,WDBC,mean smoothness,True,357,212,2.0867984543253986,Means,2
WDBC__04,WDBC,mean smoothness,True,357,212,2.376820602755804,Means,2
WDBC__04,WDBC,mean smoothness,True,357,212,2.7071498763931694,Means,2
WDBC__04,WDBC,mean smoothness,True,357,212,3.083388138237417,Means,2
WDBC__04,WDBC,mean smoothness,True,357,212,3.511915795253308,Means,2
WDBC__04,WDBC,mean smoothness,True,357,212,4.0,Means,2
WDBC__05,WDBC,mean compactness,True,357,212,0.025,Observations,569
WDBC__05,WDBC,mean compactness,True,357,212,0.02847448681291267,Observations,569
WDBC__05,WDBC,mean compactness,True,357,212,0.032431855970349484,Observations,569
WDBC__05,WDBC,mean compactness,True,357,212,0.03693921820583997,Observations,569
WDBC__05,WDBC,mean compactness,True,357,212,0.04207301126725973,Observations,569
WDBC__05,WDBC,mean compactness,True,357,212,0.04792029618036453,Observations,569
WDBC__05,WDBC,mean compactness,True,357,212,0.05458023366634633,Observations,569
WDBC__05,WDBC,mean compactness,True,357,212,0.06216576575112282,Observations,569
WDBC__05,WDBC,mean compactness,True,357,212,0.07080553108379858,Observations,569
WDBC__05,WDBC,mean compactness,True,357,212,0.08064604644507599,Binned,130
WDBC__05,WDBC,mean compactness,True,357,212,0.0918541914405543,Binned,130
WDBC__05,WDBC,mean compactness,True,357,212,0.10462003851539275,Binned,130
WDBC__05,WDBC,mean compactness,True,357,212,0.11916007628291865,Binned,66
WDBC__05,WDBC,mean compactness,True,357,212,0.13572088082974534,Binned,66
WDBC__05,WDBC,mean compactness,True,357,212,0.15458329725693898,Binned,34
WDBC__05,WDBC,mean compactness,True,357,212,0.17606720236957066,Binned,34
WDBC__05,WDBC,mean compactness,True,357,212,0.20053692928235056,Binned,34
WDBC__05,WDBC,mean compactness,True,357,212,0.2284074459340916,Binned,34
WDBC__05,WDBC,mean compactness,True,357,212,0.2601513922888541,Binned,34
WDBC__05,WDBC,mean compactness,True,357,212,0.29630709556359386,Five-number,10
WDBC__05,WDBC,mean compactness,True,357,212,0.33748769940792006,Five-number,10
WDBC__05,WDBC,mean compactness,True,357,212,0.38439156185244217,Five-number,10
WDBC__05,WDBC,mean compactness,True,357,212,0.4378140983584905,Five-number,10
WDBC__05,WDBC,mean compactness,True,357,212,0.4986612708086434,Five-number,10
WDBC__05,WDBC,mean compactness,True,357,212,0.5679649511900395,Five-number,10
WDBC__05,WDBC,mean compactness,True,357,212,0.6469004205142944,Five-number,10
WDBC__05,WDBC,mean compactness,True,357,212,0.7368062997280774,Five-number,10
WDBC__05,WDBC,mean compactness,True,357,212,0.8392072506111242,Five-number,10
WDBC__05,WDBC,mean compactness,True,357,212,0.9558398316330861,Five-number,10
WDBC__05,WDBC,mean compactness,True,357,212,1.0886819472437184,Means,2
WDBC__05,WDBC,mean compactness,True,357,212,1.2399863900098937,Means,2
WDBC__05,WDBC,mean compactness,True,357,212,1.4123190444211153,Means,2
WDBC__05,WDBC,mean compactness,True,357,212,1.6086024002397787,Means,2
WDBC__05,WDBC,mean compactness,True,357,212,1.8321651133138896,Means,2
WDBC__05,WDBC,mean compactness,True,357,212,2.0867984543253986,Means,2
WDBC__05,WDBC,mean compactness,True,357,212,2.376820602755804,Means,2
WDBC__05,WDBC,mean compactness,True,357,212,2.7071498763931694,Means,2
WDBC__05,WDBC,mean compactness,True,357,212,3.083388138237417,Means,2
WDBC__05,WDBC,mean compactness,True,357,212,3.511915795253308,Means,2
WDBC__05,WDBC,mean compactness,True,357,212,4.0,Means,2
WDBC__06,WDBC,mean concavity,True,357,212,0.025,Observations,569
WDBC__06,WDBC,mean concavity,True,357,212,0.02847448681291267,Observations,569
WDBC__06,WDBC,mean concavity,True,357,212,0.032431855970349484,Observations,569
WDBC__06,WDBC,mean concavity,True,357,212,0.03693921820583997,Observations,569
WDBC__06,WDBC,mean concavity,True,357,212,0.04207301126725973,Observations,569
WDBC__06,WDBC,mean concavity,True,357,212,0.04792029618036453,Observations,569
WDBC__06,WDBC,mean concavity,True,357,212,0.05458023366634633,Observations,569
WDBC__06,WDBC,mean concavity,True,357,212,0.06216576575112282,Observations,569
WDBC__06,WDBC,mean concavity,True,357,212,0.07080553108379858,Observations,569
WDBC__06,WDBC,mean concavity,True,357,212,0.08064604644507599,Observations,569
WDBC__06,WDBC,mean concavity,True,357,212,0.0918541914405543,Observations,569
WDBC__06,WDBC,mean concavity,True,357,212,0.10462003851539275,Observations,569
WDBC__06,WDBC,mean concavity,True,357,212,0.11916007628291865,Observations,569
WDBC__06,WDBC,mean concavity,True,357,212,0.13572088082974534,Observations,569
WDBC__06,WDBC,mean concavity,True,357,212,0.15458329725693898,Observations,569
WDBC__06,WDBC,mean concavity,True,357,212,0.17606720236957066,Observations,569
WDBC__06,WDBC,mean concavity,True,357,212,0.20053692928235056,Binned,66
WDBC__06,WDBC,mean concavity,True,357,212,0.2284074459340916,Binned,34
WDBC__06,WDBC,mean concavity,True,357,212,0.2601513922888541,Binned,18
WDBC__06,WDBC,mean concavity,True,357,212,0.29630709556359386,Binned,18
WDBC__06,WDBC,mean concavity,True,357,212,0.33748769940792006,Binned,18
WDBC__06,WDBC,mean concavity,True,357,212,0.38439156185244217,Binned,18
WDBC__06,WDBC,mean concavity,True,357,212,0.4378140983584905,Binned,18
WDBC__06,WDBC,mean concavity,True,357,212,0.4986612708086434,Binned,18
WDBC__06,WDBC,mean concavity,True,357,212,0.5679649511900395,Binned,18
WDBC__06,WDBC,mean concavity,True,357,212,0.6469004205142944,Binned,18
WDBC__06,WDBC,mean concavity,True,357,212,0.7368062997280774,Binned,18
WDBC__06,WDBC,mean concavity,True,357,212,0.8392072506111242,Binned,10
WDBC__06,WDBC,mean concavity,True,357,212,0.9558398316330861,Binned,10
WDBC__06,WDBC,mean concavity,True,357,212,1.0886819472437184,Binned,10
WDBC__06,WDBC,mean concavity,True,357,212,1.2399863900098937,Binned,10
WDBC__06,WDBC,mean concavity,True,357,212,1.4123190444211153,Binned,10
WDBC__06,WDBC,mean concavity,True,357,212,1.6086024002397787,Binned,10
WDBC__06,WDBC,mean concavity,True,357,212,1.8321651133138896,Means,2
WDBC__06,WDBC,mean concavity,True,357,212,2.0867984543253986,Means,2
WDBC__06,WDBC,mean concavity,True,357,212,2.376820602755804,Means,2
WDBC__06,WDBC,mean concavity,True,357,212,2.7071498763931694,Means,2
WDBC__06,WDBC,mean concavity,True,357,212,3.083388138237417,Means,2
WDBC__06,WDBC,mean concavity,True,357,212,3.511915795253308,Means,2
WDBC__06,WDBC,mean concavity,True,357,212,4.0,Means,2
WDBC__07,WDBC,mean concave points,True,357,212,0.025,Observations,569
WDBC__07,WDBC,mean concave points,True,357,212,0.02847448681291267,Observations,569
WDBC__07,WDBC,mean concave points,True,357,212,0.032431855970349484,Observations,569
WDBC__07,WDBC,mean concave points,True,357,212,0.03693921820583997,Observations,569
WDBC__07,WDBC,mean concave points,True,357,212,0.04207301126725973,Observations,569
WDBC__07,WDBC,mean concave points,True,357,212,0.04792029618036453,Observations,569
WDBC__07,WDBC,mean concave points,True,357,212,0.05458023366634633,Observations,569
WDBC__07,WDBC,mean concave points,True,357,212,0.06216576575112282,Observations,569
WDBC__07,WDBC,mean concave points,True,357,212,0.07080553108379858,Observations,569
WDBC__07,WDBC,mean concave points,True,357,212,0.08064604644507599,Observations,569
WDBC__07,WDBC,mean concave points,True,357,212,0.0918541914405543,Observations,569
WDBC__07,WDBC,mean concave points,True,357,212,0.10462003851539275,Observations,569
WDBC__07,WDBC,mean concave points,True,357,212,0.11916007628291865,Binned,66
WDBC__07,WDBC,mean concave points,True,357,212,0.13572088082974534,Binned,66
WDBC__07,WDBC,mean concave points,True,357,212,0.15458329725693898,Binned,66
WDBC__07,WDBC,mean concave points,True,357,212,0.17606720236957066,Binned,34
WDBC__07,WDBC,mean concave points,True,357,212,0.20053692928235056,Binned,34
WDBC__07,WDBC,mean concave points,True,357,212,0.2284074459340916,Binned,34
WDBC__07,WDBC,mean concave points,True,357,212,0.2601513922888541,Binned,34
WDBC__07,WDBC,mean concave points,True,357,212,0.29630709556359386,Binned,18
WDBC__07,WDBC,mean concave points,True,357,212,0.33748769940792006,Binned,18
WDBC__07,WDBC,mean concave points,True,357,212,0.38439156185244217,Binned,18
WDBC__07,WDBC,mean concave points,True,357,212,0.4378140983584905,Binned,18
WDBC__07,WDBC,mean concave points,True,357,212,0.4986612708086434,Binned,18
WDBC__07,WDBC,mean concave points,True,357,212,0.5679649511900395,Binned,10
WDBC__07,WDBC,mean concave points,True,357,212,0.6469004205142944,Binned,10
WDBC__07,WDBC,mean concave points,True,357,212,0.7368062997280774,Binned,10
WDBC__07,WDBC,mean concave points,True,357,212,0.8392072506111242,Binned,10
WDBC__07,WDBC,mean concave points,True,357,212,0.9558398316330861,Binned,10
WDBC__07,WDBC,mean concave points,True,357,212,1.0886819472437184,Binned,10
WDBC__07,WDBC,mean concave points,True,357,212,1.2399863900098937,Binned,10
WDBC__07,WDBC,mean concave points,True,357,212,1.4123190444211153,Means,2
WDBC__07,WDBC,mean concave points,True,357,212,1.6086024002397787,Means,2
WDBC__07,WDBC,mean concave points,True,357,212,1.8321651133138896,Means,2
WDBC__07,WDBC,mean concave points,True,357,212,2.0867984543253986,Means,2
WDBC__07,WDBC,mean concave points,True,357,212,2.376820602755804,Means,2
